doc_key,no_error,decision_type,detailed_error_type,mention_ind,entity_ind,entity_len,category,type,antecedent_ind,antecedent_dist,antecedent_dist_ent,antecedent_category,mapped_antecedent_ind,mapped_antecedent_dist,mapped_antecedent_dist_ent,mapped_antecedent_category,mapped_antecedent_type,cluster_pron-pron-comp,cluster_pron-pron-no-comp,cluster_pron-ent,cluster_match,cluster_contain,cluster_other,mapped_cluster_pron-pron-comp,mapped_cluster_pron-pron-no-comp,mapped_cluster_pron-ent,mapped_cluster_match,mapped_cluster_contain,mapped_cluster_other,cluster_size,cluster_errors,mapped_cluster_type,mapped_cluster_size,mapped_cluster_errors,cluster_props,cluster_prons,cluster_noms,mapped_cluster_props,mapped_cluster_prons,mapped_cluster_noms,entity_score,wrong_score,wrong_mean_score,num_wrong_inst,entropy,prob,mention_str,cluster_str,cluster_final_size,mapped_cluster_str,mapped_cluster_final_size,prob_str
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,18,15,15,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6412876372294574,0.8603470325469971,the rugged passes,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,19,16,16,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9914501997759886,0.7341974377632141,the rugged passes of the mountains,,,,,0.7
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,20,17,17,PRON,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7888788867697945,0.5598472356796265,their,,,,,0.6
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,21,18,18,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26722624499714653,0.9623622894287109,the practiced native warriors,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,22,17,19,PRON,PER,20.0,1.0,1.0,PRON,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,1.0,0.0,,,,4.62974739074707,,,,0.16351155567335368,0.9767296314239502,they,"their_1
",2.0,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,23,19,19,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.297452931212849,0.956988513469696,no recess of the woods,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,24,20,20,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5474643856919658,0.8868014812469482,the woods,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,25,21,21,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.546917459237597,0.9129900336265564,"those who had pledged their blood to satiate their vengeance , or to uphold the cold and selfish policy of the distant monarchs of Europe",,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,26,21,22,PRON,PER,25.0,0.0,0.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,2.1517174243927,,,,0.7307356440012849,0.8395864367485046,their,"those who had pledged their blood to satiate their vengeance , or to uphold the cold and selfish policy of the distant monarchs of Europe_1
",3.0,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,27,21,22,PRON,PER,26.0,0.0,0.0,PRON,,,,,,0.5,0.0,0.5,0.0,0.0,0.0,,,,,,,2.0,0.0,,,,0.0,0.5,0.5,,,,3.69201397895813,,,,0.24498474029276177,0.959536075592041,their,"those who had pledged their blood to satiate their vengeance , or to uphold the cold and selfish policy of the distant monarchs of Europe_1
their_1
",3.0,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,28,22,22,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5765010989323907,0.8961012363433838,the distant monarchs of Europe,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,29,23,23,PROP,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7452837753018597,0.8478127717971802,Europe,,,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,30,24,24,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3441093735178445,0.9515625238418579,no district throughout the wide extent of the intermediate frontiers,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,31,25,25,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6156771630659277,0.8922907114028931,the wide extent of the intermediate frontiers,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,32,26,26,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5688871925608824,0.9039103388786316,the intermediate frontiers,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,33,27,27,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9279358453659163,0.805440366268158,the country which lies between the head waters of the Hudson and the adjacent lakes,,,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,34,28,28,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6680314835107956,0.8951506614685059,the head waters of the Hudson,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,35,29,29,PROP,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8264045850153139,0.8676396012306213,the Hudson,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,36,30,30,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4329967758302283,0.9394407868385315,the adjacent lakes,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,37,31,31,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7979501250414291,0.8663159012794495,nature,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,38,27,32,NOM,LOC,33.0,4.0,4.0,NOM,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,3.3324334621429443,,,,0.8429345538637834,0.8386043310165405,there,"the country which lies between the head waters of the Hudson and the adjacent lakes_1
",2.0,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,39,32,32,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6104952977791978,0.9065682888031006,the combatants,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,40,33,33,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5701806211915974,0.3601146340370178,The lengthened sheet of the Champlain,,,,,0.4
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,0,o,o_c,41,34,34,NOM,LOC,,,,,35.0,5.0,5.0,PROP,LOC,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,LOC,1.0,0.0,,,,1.0,0.0,0.0,,2.0887959003448486,1.0644617080688477,2.0,1.0513770993678313,0.7482197284698486,the Champlain,,,"the Hudson_1
",5.0,0.7
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,42,35,35,PROP,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7087843865352247,0.8808544874191284,Canada,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,43,36,36,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8280897936144447,0.8554138541221619,the borders of the neighboring province of New York,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,44,37,37,NOM,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6274654116021956,0.9071159362792969,the neighboring province of New York,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,45,38,38,PROP,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.140736882671995,0.7603105306625366,New York,,,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,46,39,39,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3680856723662007,0.7421486377716064,a natural passage across half the distance that the French were compelled to master in order to strike their enemies,,,,,0.7
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,47,40,40,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7201484995262326,0.6209884881973267,half the distance that the French were compelled to master in order to strike their enemies,,,,,0.6
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,48,41,41,NOM,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0446413593412578,0.6687637567520142,the French,,,,,0.7
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,49,41,42,PRON,GPE,48.0,0.0,0.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,4.733725070953369,,,,0.5914761695665803,0.9026125073432922,their,"the French_1
",5.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,50,42,42,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5595845840254663,0.9217163920402527,their enemies,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,51,33,43,PRON,LOC,40.0,10.0,9.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,4.773258209228516,,,,1.1233020222585055,0.5737656950950623,its,"The lengthened sheet of the Champlain_1
",3.0,,,0.6
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,52,43,43,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7994083169188875,0.5917282104492188,its southern termination,,,,,0.6
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,53,33,44,PRON,LOC,51.0,1.0,1.0,PRON,,,,,,0.5,0.0,0.5,0.0,0.0,0.0,,,,,,,2.0,0.0,,,,0.0,0.5,0.5,,,,5.785595893859863,,,,0.8166661352280377,0.7419611215591431,it,"The lengthened sheet of the Champlain_1
its_1
",3.0,,,0.7
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,54,44,44,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8612444541868015,0.8624823093414307,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”",,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,55,45,45,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.570865169062351,0.9215750098228455,the Jesuit missionaries,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,0,c,c_o,56,44,46,PRON,LOC,54.0,1.0,1.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,-0.1355709731578827,0.0,0.0,1.0,2.6461189409224413,0.29081788659095764,it,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
",15.0,,,0.3
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,0,c,c_o,57,44,46,NOM,LOC,56.0,0.0,0.0,PRON,,,,,,0.0,0.0,0.5,0.0,0.5,0.0,,,,,,,2.0,1.0,,,,0.0,0.5,0.5,,,,-0.43883392214775085,0.0,0.0,1.0,1.0713897137538506,0.5721848011016846,lake “ du Saint Sacrement . ”,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
it_1
",15.0,,,0.6
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,58,46,46,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5269640909189689,0.9284570217132568,The less zealous English,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,59,46,47,PRON,PER,58.0,0.0,0.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,3.354686737060547,,,,1.0696672407031054,0.8294981718063354,they,"The less zealous English_1
",4.0,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,60,44,47,PRON,LOC,57.0,2.0,1.0,NOM,,,,,,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,,,,,,,3.0,2.0,,,,0.0,0.3333333333333333,0.6666666666666666,,,,3.0631661415100098,,,,1.1485976974217629,0.7698509693145752,its,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
it_1
lake “ du Saint Sacrement . ”_1
",15.0,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,61,47,47,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2490733262057687,0.7414547204971313,its unsullied fountains,,,,,0.7
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,62,46,48,PRON,PER,59.0,2.0,2.0,PRON,,,,,,0.5,0.0,0.5,0.0,0.0,0.0,,,,,,,2.0,0.0,,,,0.0,0.5,0.5,,,,5.419197082519531,,,,0.49737800401167626,0.9337026476860046,they,"The less zealous English_1
they_1
",4.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,63,46,48,PRON,PER,62.0,0.0,0.0,PRON,,,,,,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,,,,,,,3.0,0.0,,,,0.0,0.6666666666666666,0.3333333333333333,,,,4.859655380249023,,,,0.6422420994858481,0.9100692868232727,their,"The less zealous English_1
they_2
",4.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,64,48,48,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2324396061188985,0.7957273721694946,their reigning prince,,,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,0,o,o_c,65,49,49,NOM,PER,,,,,64.0,0.0,0.0,NOM,PER,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,PER,1.0,0.0,,,,0.0,0.0,1.0,,0.3961564898490906,0.3961564898490906,1.0,1.3291428540536123,0.5336887836456299,the second of the house of Hanover,,,"their reigning prince_1
",1.0,0.5
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,66,50,50,NOM,FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9635199445047042,0.850999116897583,the house of Hanover,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,67,51,51,PROP,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.926227273262767,0.8610389828681946,Hanover,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,68,52,52,NOM,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6221902263092867,0.9071413278579712,The two,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,69,53,53,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.080814014689362,0.8360903263092041,the untutored possessors of its wooded scenery,,,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,0,c,c_c,70,44,54,PRON,LOC,60.0,9.0,8.0,PRON,53.0,16.0,10.0,PRON,LOC,0.5,0.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,4.0,2.0,LOC,3.0,0.0,0.0,0.5,0.5,0.0,0.6666666666666666,0.3333333333333333,2.691666603088379,4.338014602661133,4.338014602661133,1.0,1.3999764957812033,0.6924830675125122,its,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
it_1
lake “ du Saint Sacrement . ”_1
its_1
",15.0,"The lengthened sheet of the Champlain_1
its_1
it_1
",3.0,0.7
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,71,54,54,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7510034203568567,0.687682569026947,its wooded scenery,,,,,0.7
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,0,c,c_c,72,53,55,PRON,PER,69.0,2.0,2.0,NOM,63.0,8.0,8.0,PRON,PER,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0,1.0,0.0,PER,4.0,0.0,0.0,0.0,1.0,0.0,0.75,0.25,1.0012913942337036,1.0299071073532104,1.0299071073532104,1.0,2.671162939974904,0.24924547970294952,their,"the untutored possessors of its wooded scenery_1
",2.0,"The less zealous English_1
they_2
their_1
",4.0,0.2
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,73,44,55,PRON,LOC,70.0,2.0,2.0,PRON,,,,,,0.6,0.0,0.4,0.0,0.0,0.0,,,,,,,5.0,3.0,,,,0.0,0.6,0.4,,,,3.3794925212860107,,,,1.6325509236191373,0.5216637253761292,its,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
it_1
lake “ du Saint Sacrement . ”_1
its_2
",15.0,,,0.5
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,0,c,c_o,74,44,55,PROP,LOC,73.0,0.0,0.0,PRON,,,,,,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,,,,,,,6.0,3.0,,,,0.0,0.6666666666666666,0.3333333333333333,,,,-3.39815092086792,0.0,0.0,1.0,1.325712493173803,0.7825844287872314,Horican,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
it_1
lake “ du Saint Sacrement . ”_1
its_3
",15.0,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,75,55,55,NOM,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5621295410101648,0.9247898459434509,each nation of the Indians,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,76,56,56,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6100701009009494,0.9170793294906616,the Indians,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,77,55,57,PRON,GPE,75.0,1.0,1.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,5.081353187561035,,,,0.625857427402962,0.9002758264541626,its,"each nation of the Indians_1
",5.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,78,55,57,PRON,GPE,77.0,0.0,0.0,PRON,,,,,,0.5,0.0,0.5,0.0,0.0,0.0,,,,,,,2.0,0.0,,,,0.0,0.5,0.5,,,,5.8908843994140625,,,,0.2739434409524207,0.9626887440681458,its,"each nation of the Indians_1
its_1
",5.0,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,79,55,57,PRON,GPE,78.0,0.0,0.0,PRON,,,,,,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,,,,,,,3.0,0.0,,,,0.0,0.6666666666666666,0.3333333333333333,,,,4.316077709197998,,,,1.0195128355384058,0.5151304602622986,they,"each nation of the Indians_1
its_2
",5.0,,,0.5
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,80,57,57,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7772979615920619,0.887361466884613,the same places,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,81,55,58,PRON,GPE,79.0,1.0,1.0,PRON,,,,,,0.25,0.5,0.25,0.0,0.0,0.0,,,,,,,4.0,0.0,,,,0.0,0.75,0.25,,,,4.934152126312256,,,,0.9650881335260988,0.7150453925132751,their,"each nation of the Indians_1
its_2
they_1
",5.0,,,0.7
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,0,c,c_c,82,44,58,NOM,LOC,74.0,7.0,3.0,PROP,53.0,28.0,14.0,PRON,LOC,0.0,0.0,0.5714285714285714,0.0,0.0,0.42857142857142855,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,7.0,4.0,LOC,3.0,0.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0,0.6666666666666666,0.3333333333333333,-0.3341687321662903,5.203245639801025,2.281723916530609,3.0,0.3433973191871718,0.9457422494888306,this beautiful sheet of water,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
it_1
lake “ du Saint Sacrement . ”_1
its_3
Horican_1
",15.0,"The lengthened sheet of the Champlain_1
its_1
it_1
",3.0,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,83,58,58,NOM,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3406456531145639,0.7845007181167603,the tribe that dwelt on its banks,,,,,0.8
